"datestamp","top40_return","fx_vol","us_2y","us_10y","us_20y","comdty_fut"
2005-01-03,1.2702,16.5,0.0306604138780395,0.0416332185380966,0.0477873786698005,103.1
2005-01-04,-0.7132,17.5,0.0317100126207749,0.0424044962044943,0.0484605759070166,101.45
2005-01-05,-0.3692,18,0.0317941012790169,0.0423376886708675,0.0481748704165078,98.5
2005-01-06,1.161,20,0.0312328858543033,0.0421458060865372,0.0481793607069498,96.8
2005-01-07,-0.849,19,0.0316001824755874,0.0422229130660246,0.0481793851602942,96.25
2005-01-10,-0.3684,19,0.0318868786191453,0.0422081507300854,0.0479847563242445,95.6
2005-01-11,0.0367,17.75,0.0318088644008433,0.0418895788799179,0.0476823897424895,95.65
2005-01-12,0.5331,18.25,0.0318118307679808,0.0418769989126012,0.0474919308956845,98.85
2005-01-13,0.2564,18.5,0.0313664207330949,0.0411890115556118,0.0469096983143708,101.1
2005-01-14,0.2254,18.5,0.0319051263492779,0.0416245464012504,0.0470078835710886,100.1
2005-01-17,-0.6408,18.75,0.0319051263492779,0.0416245464012504,0.0470078835710886,100.1
2005-01-18,-0.6392,18.5,0.0319939187099647,0.0413826632611718,0.0467010117073293,104.4
2005-01-19,-0.8445,18.5,0.0319112341799915,0.0412558975905877,0.0465101409097295,104.1
2005-01-20,-0.4071,18.3,0.0315041983235077,0.041167746873712,0.04641742269804,102
2005-01-21,0.2496,18.25,0.0311362883644962,0.0409583992536085,0.0463248150533443,103.25
2005-01-24,0.2229,18.5,0.031592555371207,0.0407528556300193,0.0459348077704002,104.65
2005-01-25,-0.1079,17.875,0.0318452620774346,0.0414658191063696,0.0466095040348908,105.75
2005-01-26,0.753,17.75,0.0322635779933627,0.0415114613683888,0.0466135778946073,105.1
2005-01-27,0.8458,17.5,0.0324475081479023,0.0417211931430746,0.0467157613814501,103.2
2005-01-28,-0.1179,17.5,0.0322473082630086,0.0409564646111442,0.0460322033902754,105.3
2005-01-31,0.8646,17.25,0.0324527757589177,0.0408271585947278,0.0458371188868104,105.35
2005-02-01,1.4629,17.5,0.032535186824184,0.0409293701224677,0.045925605244349,105.8
2005-02-02,0.0561,17,0.0328589040827587,0.0409550353381334,0.045734939367183,104.9
2005-02-03,0.5114,17,0.0330173235635686,0.0411836178612197,0.0458367891681946,105.3
2005-02-04,-0.1021,17.25,0.0325000706487284,0.0403252512490439,0.0448600215894984,110.5
2005-02-07,0.3736,17.5,0.032706622863606,0.0400633774409196,0.0443715081948159,112.75
2005-02-08,0.3624,18.2,0.0327910278321944,0.0397303139171274,0.0440687156036575,111.7
2005-02-09,0.2045,17.75,0.0320618245231059,0.0393814695317923,0.0437803832506602,112.45
2005-02-10,-0.2046,17.25,0.0325497092352547,0.0404561211913074,0.044664866055974,113.85
2005-02-11,-0.1287,17,0.0329217999050092,0.0404144957863463,0.0449574949293012,113.45
2005-02-14,0.3101,17,0.0332122587381468,0.0402402159261834,0.0445664392275138,112.4
2005-02-15,-0.3204,16.25,0.0331343537637791,0.0405118632515653,0.0449433025094938,117.8
2005-02-16,0.7757,17,0.0337117087340303,0.0410685665789145,0.0454356338964547,116.85
2005-02-17,0.6709,16.7,0.033180441914213,0.0413430835845599,0.0459282518230937,117.05
2005-02-18,0.3473,16.2,0.0339731798794503,0.0421864725315817,0.0466168545679819,118.05
2005-02-21,0.3459,16.25,0.0339731798794503,0.0421864725315817,0.0466168545679819,118.05
2005-02-22,-0.8625,16,0.0339851004559512,0.0423732760205963,0.0469020623848855,115.1
2005-02-23,-0.2561,16,0.0340686727602568,0.0421503178379386,0.0467109359286638,121.55
2005-02-24,0.5946,15.9,0.0344032020876348,0.0423610212470208,0.0468131822640441,119.2
2005-02-25,0.5827,15.9,0.0348684250800346,0.0421710066790452,0.0466178743644323,115.25
2005-02-28,1.0014,15.9,0.0356403558100275,0.043257403160355,0.0473018729691552,119.15
2005-03-01,0.1068,16.1,0.0354015222749765,0.0431498327922927,0.0473897461383854,119.05
2005-03-02,-0.3482,16.5,0.0352423345656364,0.0432747704770851,0.0475889315522192,119.35
2005-03-03,0.7633,16,0.035235518978865,0.0432746514935486,0.0475929553014656,120.9
2005-03-04,0.6718,16.5,0.0352037940184255,0.0425982078006849,0.0467143910412572,121.85
2005-03-07,-0.4719,16,0.0355737278703091,0.04258197448395,0.0464218500827695,128
2005-03-08,-0.0187,16,0.0358220850373061,0.0434064543538151,0.0471940454524531,130.65
2005-03-09,0.3852,16,0.0362345920397209,0.0446715131030729,0.0485644641745931,129.5
2005-03-10,-0.1321,16,0.0362286716996043,0.0441206796854313,0.0478865883606817,135.75
2005-03-11,-0.4396,16.1,0.0367747442703788,0.0448941667951567,0.0486668319202736,134.45
2005-03-14,0.872,16.5,0.0369072871551405,0.0445424543141232,0.048374375682771,132.5
2005-03-15,-0.0268,17,0.0369946743060606,0.0449068360634186,0.048657912839849,135
2005-03-16,-0.1422,17.25,0.036752145133631,0.0445412783251696,0.048467054299439,134.6
2005-03-17,1.4529,17.5,0.0362532758214077,0.0441280922417545,0.0480815776997744,135.1
2005-03-18,-0.9348,17.2,0.0365559775884498,0.0445453560628748,0.0485693589722,131.6
2005-03-22,-0.9557,17.4,0.0378585025241136,0.0458498313056559,0.0494381548068637,131.35
2005-03-23,-1.3466,18.5,0.0377800118179722,0.0453028698629659,0.0492466921817241,125.25
2005-03-24,-0.7999,17.75,0.0380422365055378,0.0454257703402759,0.0490567751372272,120.9
2005-03-29,0.3442,18.25,0.037982149797181,0.0451823153419583,0.049144416232834,122.05
2005-03-30,-0.2856,18.25,0.0379036478546328,0.0449321333910492,0.048661883632686,125
2005-03-31,0.9505,17.75,0.0372979154488717,0.0442991797039464,0.0481787218805143,126.4
2005-04-01,1.0469,17.25,0.0368615257828871,0.0439675513812616,0.0478861157514691,123.95
2005-04-04,-1.1565,17.75,0.036828731534174,0.0440300091956474,0.0477893115026375,123.05
2005-04-05,-0.0647,17.75,0.0368287052765385,0.0441576243304757,0.0480721246556425,126.1
2005-04-06,-0.1258,17.25,0.0364231319525714,0.0437134041312383,0.0478815270211947,124.7
2005-04-07,-0.1679,17.5,0.0367332998028563,0.0442861459028858,0.0483739239273352,121.95
2005-04-08,0.814,17.75,0.0370194851704565,0.0441705637574659,0.0481784782826798,116.85
2005-04-11,-0.3205,17.3,0.0368209485241983,0.0437599088311675,0.0477875042962001,113.5
2005-04-12,-0.6308,17.3,0.0364958172182698,0.043023129123176,0.0471923785235177,114.85
2005-04-13,-1.3203,17.25,0.0361686890962362,0.0431100752229166,0.0473922318136062,114.6
2005-04-14,0.8582,17.95,0.0350975521640854,0.0426025709596188,0.0473966017421042,111.05
2005-04-15,-0.3996,17.5,0.0345583605986888,0.0419438400124353,0.0467137645248616,112.55
2005-04-18,-1.1279,17.75,0.0351736152126333,0.042219241380947,0.04642275651623,111.95
2005-04-19,0.3825,17.5,0.0347607212406261,0.0416447575062734,0.0458273466276627,118
2005-04-20,-0.6216,17.25,0.0345100630685225,0.0414028942725772,0.0460265610824549,121.85
2005-04-21,-0.9394,17.3,0.0358123109181475,0.0424705764987437,0.0467152089938603,119.75
2005-04-22,-0.3646,17.25,0.0356047914418329,0.0419858866558655,0.0462270035609099,124.8
2005-04-25,0.2168,17.25,0.0359802295340964,0.0419892846224339,0.0459344821800581,124.4
2005-04-26,0.141,17.15,0.0361461630347104,0.042173239985374,0.0461204995382247,129.6
2005-04-28,-2.859,17.25,0.0351880621892949,0.040999699134663,0.0454450178411078,128
2005-04-29,0.7229,16.9,0.0361172234140823,0.0415226237278307,0.0455435009531522,125.15
2005-05-03,1.0806,17,0.0360066634437126,0.0411877676974837,0.045436038020624,119.1
2005-05-04,-0.0831,16.5,0.0357640068820235,0.0414083174338148,0.0458328717586689,122.7
